Wind_turbine_name;Date_time;Ba_avg;Ba_min;Ba_max;Ba_std;Rt_avg;Rt_min;Rt_max;Rt_std;DCs_avg;DCs_min;DCs_max;DCs_std;Cm_avg;Cm_min;Cm_max;Cm_std;P_avg;P_min;P_max;P_std;Q_avg;Q_min;Q_max;Q_std;S_avg;S_min;S_max;S_std;Cosphi_avg;Cosphi_min;Cosphi_max;Cosphi_std;Ds_avg;Ds_min;Ds_max;Ds_std;Db1t_avg;Db1t_min;Db1t_max;Db1t_std;Db2t_avg;Db2t_min;Db2t_max;Db2t_std;Dst_avg;Dst_min;Dst_max;Dst_std;Gb1t_avg;Gb1t_min;Gb1t_max;Gb1t_std;Gb2t_avg;Gb2t_min;Gb2t_max;Gb2t_std;Git_avg;Git_min;Git_max;Git_std;Gost_avg;Gost_min;Gost_max;Gost_std;Ya_avg;Ya_min;Ya_max;Ya_std;Yt_avg;Yt_min;Yt_max;Yt_std;Ws1_avg;Ws1_min;Ws1_max;Ws1_std;Ws2_avg;Ws2_min;Ws2_max;Ws2_std;Ws_avg;Ws_min;Ws_max;Ws_std;Wa_avg;Wa_min;Wa_max;Wa_std;Va1_avg;Va1_min;Va1_max;Va1_std;Va2_avg;Va2_min;Va2_max;Va2_std;Va_avg;Va_min;Va_max;Va_std;Ot_avg;Ot_min;Ot_max;Ot_std;Nf_avg;Nf_min;Nf_max;Nf_std;Nu_avg;Nu_min;Nu_max;Nu_std;Rs_avg;Rs_min;Rs_max;Rs_std;Rbt_avg;Rbt_min;Rbt_max;Rbt_std;Rm_avg;Rm_min;Rm_max;Rm_std;Pas_avg;Pas_min;Pas_max;Pas_std;Wa_c_avg;Wa_c_min;Wa_c_max;Wa_c_std;Na_c_avg;Na_c_min;Na_c_max;Na_c_std
R80711;2018-01-11T17:00:00-06:00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R80711;2018-01-11T17:10:00-06:00;0.47;0.0;0.5;0.11;14.0;14.0;14.0;0.0;970.95;968.06;973.67;1.14;224.22;112.83;404.59;65.8;0.0;-20.6;10.33;5.48;3.41;0.0;15.62;3.63;7.52;0.57;22.34;5.51;1.0;1.0;1.0;0.0;970.01;967.12;972.68;1.11;35.1;34.3;35.9;0.41;33.95;33.2;34.65;0.36;56.37;54.85;57.7;0.58;55.45;55.2;55.6;0.07;52.47;52.35;52.6;0.09;50.07;49.8;50.45;0.08;50.73;50.5;50.9;0.05;29.63;29.63;29.63;0.0;21.84;21.4;22.3;0.26;2.36;0.0;3.93;1.42;1.99;0.0;3.94;1.59;2.17;0.0;3.86;1.31;21.75;341.43;79.05;14.47;-7.88;-48.21;49.42;14.47;-7.88;-48.21;49.42;14.47;;;;;5.59;5.5;5.6;0.03;49.96;49.94;50.0;0.01;701.77;700.42;703.15;0.62;9.23;9.19;9.27;0.01;22.8;22.7;22.9;0.01;-47.15;-202.77;101.07;53.94;;;;;;;;;;;;
R80711;2018-01-11T17:30:00-06:00;0.17;-0.99;0.5;0.35;14.0;14.0;14.0;0.0;971.19;968.96;974.54;1.1;382.19;115.06;966.21;177.49;9.38;-14.65;69.49;16.85;5.74;0.0;35.38;5.85;15.2;0.46;75.53;14.7;1.0;1.0;0.87;0.02;970.25;968.12;973.69;1.07;37.73;36.95;38.65;0.39;36.39;35.7;37.1;0.37;60.21;58.5;61.6;0.63;55.57;55.2;55.95;0.14;52.47;52.2;52.9;0.19;50.25;50.0;50.5;0.08;50.82;50.65;51.0;0.06;29.63;29.63;29.63;0.0;23.29;23.0;23.6;0.17;2.4;0.0;4.75;1.7;2.98;0.0;4.53;1.31;2.69;0.0;4.46;1.41;27.04;333.19;76.8;13.51;-2.6;-56.45;47.16;13.51;-2.6;-56.45;47.16;13.51;;;;;5.77;5.6;5.85;0.07;50.0;49.98;50.02;0.01;703.8;702.37;704.86;0.65;9.23;9.2;9.28;0.01;22.94;22.8;23.0;0.07;92.25;-143.87;683.45;165.74;;;;;;;;;;;;
R80711;2018-01-11T17:50:00-06:00;-0.99;-0.99;-0.99;0.0;14.0;14.0;14.0;0.0;1008.48;967.4;1052.63;29.91;1075.21;720.61;1249.56;123.06;84.64;46.5;107.12;15.13;45.84;29.11;81.57;16.68;98.38;63.41;114.21;9.89;0.87;0.95;0.52;0.11;1007.55;966.39;1051.66;29.92;40.61;39.6;41.6;0.46;38.63;38.2;39.15;0.25;63.73;62.35;65.1;0.51;57.57;57.05;58.2;0.37;55.47;54.8;56.3;0.47;50.55;49.55;51.1;0.15;51.24;50.75;51.6;0.11;29.63;29.63;29.63;0.0;24.9;24.5;25.3;0.24;4.53;3.43;5.75;0.38;4.57;3.7;5.65;0.37;4.55;3.6;5.7;0.35;28.64;342.96;67.67;12.18;-0.95;-46.68;38.04;12.18;-0.95;-46.68;38.04;12.18;;;;;6.11;5.9;6.2;0.1;50.01;49.98;50.04;0.01;703.55;702.14;705.21;0.73;9.59;9.19;10.02;0.29;23.0;23.0;23.0;0.0;798.73;458.63;978.31;121.43;;;;;;;;;;;;
R80711;2018-01-11T18:50:00-06:00;-0.07;-0.49;0.36;0.17;14.0;14.0;14.0;0.0;970.83;968.23;973.18;0.82;487.08;350.08;694.93;80.6;18.5;4.26;40.58;7.99;5.58;0.0;12.53;3.31;19.75;5.63;41.97;8.24;1.0;1.0;1.0;0.0;969.91;967.35;972.22;0.79;32.98;32.05;33.9;0.42;32.21;31.6;32.95;0.32;53.76;52.7;55.15;0.45;57.03;56.55;57.6;0.23;54.95;54.3;55.9;0.44;50.99;50.8;51.25;0.06;51.58;51.4;51.8;0.06;29.63;29.63;29.63;0.0;20.59;19.7;21.3;0.41;3.52;2.9;4.81;0.31;3.73;3.02;4.94;0.31;3.63;3.0;4.74;0.3;46.79;331.82;99.89;13.91;17.15;-57.81;70.25;13.91;17.15;-57.81;70.25;13.91;;;;;6.17;6.1;6.4;0.06;49.99;49.97;50.0;0.01;702.76;701.61;703.43;0.33;9.23;9.2;9.26;0.01;22.3;22.25;22.4;0.01;182.14;41.19;399.09;78.59;;;;;;;;;;;;
R80711;2018-01-11T19:20:00-06:00;-0.8;-0.99;-0.01;0.24;14.0;14.0;14.0;0.0;973.98;968.82;998.92;7.49;854.46;666.93;1091.83;111.79;56.45;31.33;83.66;12.29;15.05;5.12;26.88;5.28;58.55;31.88;87.53;13.04;0.99;1.0;0.94;0.02;973.05;967.88;997.98;7.48;37.52;36.5;38.6;0.48;35.88;35.2;36.5;0.3;59.09;57.75;60.7;0.57;57.4;57.1;57.8;0.12;55.14;54.9;55.6;0.13;51.21;51.0;51.7;0.09;51.83;51.6;51.9;0.05;29.63;29.63;29.63;0.0;23.58;23.2;23.9;0.2;4.37;3.18;5.76;0.46;4.28;3.54;5.81;0.4;4.33;3.37;5.65;0.41;20.52;333.51;85.85;13.11;-9.15;-56.12;56.21;13.11;-9.15;-56.12;56.21;13.11;;;;;6.23;6.1;6.45;0.1;49.98;49.95;50.0;0.01;702.79;701.68;703.98;0.55;9.26;9.19;9.51;0.07;22.58;22.5;22.6;0.03;553.32;310.48;801.63;116.46;;;;;;;;;;;;
R80711;2018-01-11T20:00:00-06:00;0.5;0.5;0.5;0.0;14.0;14.0;14.0;0.0;970.92;969.29;972.37;0.57;257.16;179.98;364.71;49.14;0.0;-10.99;4.48;3.85;0.07;-1.01;1.81;0.17;4.67;0.55;11.03;3.07;1.0;1.0;1.0;0.0;969.99;968.42;971.42;0.55;41.86;40.3;43.1;0.75;38.92;37.75;39.7;0.54;64.89;63.15;66.05;0.56;56.73;56.2;57.1;0.27;54.05;53.7;54.3;0.16;51.07;50.65;51.85;0.24;52.06;51.85;52.2;0.08;29.63;29.63;29.63;0.0;18.4;15.5;25.3;2.57;0.97;0.0;3.77;1.41;2.24;0.0;3.81;1.49;1.6;0.0;3.67;1.22;43.9;341.68;115.81;17.54;14.23;-47.95;86.17;17.54;14.23;-47.95;86.17;17.54;;;;;6.44;6.2;6.7;0.17;49.99;49.97;50.01;0.01;701.84;700.88;702.61;0.31;9.23;9.2;9.25;0.01;22.72;22.55;23.0;0.1;-39.37;-108.03;44.0;37.93;;;;;;;;;;;;
R80711;2018-01-11T20:20:00-06:00;-0.2;-0.49;0.5;0.3;14.0;14.0;14.0;0.0;970.98;968.5;973.07;0.83;568.15;276.73;786.0;137.34;25.17;-1.26;47.3;13.74;24.99;13.58;34.55;5.1;38.0;22.57;51.0;5.75;1.0;1.0;1.0;0.0;970.06;967.49;972.06;0.81;35.21;33.55;36.95;0.92;33.76;32.5;35.15;0.71;58.15;55.95;60.5;1.08;56.07;55.8;56.3;0.12;53.87;53.6;54.1;0.17;50.61;50.35;50.95;0.08;51.81;51.6;51.95;0.05;29.63;29.63;29.63;0.0;12.78;12.3;13.4;0.33;4.01;2.89;5.19;0.47;3.96;2.99;5.05;0.4;3.99;3.01;4.99;0.43;19.88;339.68;81.81;11.45;-9.78;-49.95;52.18;11.45;-9.78;-49.95;52.18;11.45;;;;;5.63;5.5;5.9;0.13;49.99;49.97;50.02;0.01;702.52;700.75;703.85;0.77;9.23;9.19;9.26;0.01;22.29;22.2;22.5;0.03;247.79;-12.29;464.75;135.21;;;;;;;;;;;;
R80711;2018-01-11T20:40:00-06:00;-0.55;-0.99;0.0;0.4;14.0;14.0;14.0;0.0;971.33;965.31;976.12;1.73;744.05;332.42;1052.77;186.23;45.24;3.76;74.12;18.8;21.49;0.0;33.87;6.48;50.85;3.76;80.15;17.96;0.99;1.0;0.86;0.04;970.4;964.39;975.16;1.71;31.96;31.4;32.7;0.28;31.52;31.0;32.1;0.27;53.46;52.65;54.3;0.24;56.32;55.7;56.8;0.23;54.06;53.4;54.55;0.32;50.93;50.65;51.35;0.11;51.75;51.5;51.9;0.07;15.37;15.37;15.37;0.0;18.85;17.0;20.2;0.88;3.94;2.77;5.17;0.42;4.07;3.06;5.19;0.39;4.0;2.94;5.04;0.38;19.95;332.2;63.66;13.79;4.64;-43.16;48.3;13.79;4.64;-43.16;48.3;13.79;;;;;5.32;5.25;5.5;0.05;49.98;49.96;50.01;0.01;703.73;702.47;704.93;0.52;9.24;9.18;9.28;0.02;22.43;22.3;22.55;0.09;445.05;37.08;726.92;184.7;;;;;;;;;;;;
R80711;2018-01-11T20:50:00-06:00;-0.61;-0.99;0.5;0.41;14.0;14.0;14.0;0.0;973.51;966.4;1000.12;6.48;758.24;253.43;1110.93;211.36;47.14;-1.41;85.01;21.74;22.96;14.0;34.15;4.23;54.22;17.69;87.22;17.44;0.99;1.0;0.88;0.03;972.59;965.52;999.2;6.47;33.22;32.3;34.15;0.46;32.61;32.0;33.3;0.34;54.45;53.3;55.6;0.47;57.05;56.7;57.3;0.12;54.98;54.5;55.2;0.19;51.16;50.85;51.6;0.1;51.86;51.7;52.0;0.05;15.37;15.37;15.37;0.0;20.9;20.1;21.6;0.41;4.05;2.97;5.33;0.48;4.15;2.87;5.54;0.48;4.1;2.98;5.31;0.46;16.46;337.43;82.57;13.13;1.08;-37.94;67.21;13.13;1.08;-37.94;67.21;13.13;;;;;5.29;5.2;5.3;0.03;49.98;49.96;50.0;0.01;703.72;702.5;705.17;0.6;9.26;9.17;9.52;0.06;22.59;22.5;22.7;0.03;461.96;-13.88;813.14;211.01;;;;;;;;;;;;
